"Date","Product_Category","Trade_Type","Trade_Volume"
2020-01-01,"Agriculture","Export",8360
2020-02-01,"Agriculture","Import",6534
2020-03-01,"Agriculture","Export",1514
2020-04-01,"Agriculture","Import",3685
2020-05-01,"Agriculture","Export",9715
2020-06-01,"Agriculture","Import",9405
2020-07-01,"Agriculture","Export",9944
2020-08-01,"Agriculture","Import",4099
2020-09-01,"Agriculture","Export",9893
2020-10-01,"Agriculture","Import",4972
2020-11-01,"Agriculture","Export",5641
2020-12-01,"Agriculture","Import",2058
2021-01-01,"Agriculture","Export",7959
2021-02-01,"Agriculture","Import",5031
2021-03-01,"Agriculture","Export",7908
2021-04-01,"Agriculture","Import",5678
2021-05-01,"Agriculture","Export",9202
2021-06-01,"Agriculture","Import",8347
2021-07-01,"Agriculture","Export",4062
2021-08-01,"Agriculture","Import",6624
2021-09-01,"Agriculture","Export",4983
2021-10-01,"Agriculture","Import",6757
2021-11-01,"Agriculture","Export",5722
2021-12-01,"Agriculture","Import",8233
2022-01-01,"Agriculture","Export",9975
2022-02-01,"Agriculture","Import",4521
2022-03-01,"Agriculture","Export",1653
2022-04-01,"Agriculture","Import",1648
2022-05-01,"Agriculture","Export",8464
2022-06-01,"Agriculture","Import",7547
2022-07-01,"Agriculture","Export",5959
2022-08-01,"Agriculture","Import",1744
2022-09-01,"Agriculture","Export",9529
2022-10-01,"Agriculture","Import",1670
2022-11-01,"Agriculture","Export",8754
2022-12-01,"Agriculture","Import",9186
2023-01-01,"Agriculture","Export",7557
2023-02-01,"Agriculture","Import",1459
2023-03-01,"Agriculture","Export",9589
2023-04-01,"Agriculture","Import",5429
2023-05-01,"Agriculture","Export",8500
2023-06-01,"Agriculture","Import",7175
2023-07-01,"Agriculture","Export",8663
2023-08-01,"Agriculture","Import",7751
2023-09-01,"Agriculture","Export",4580
2023-10-01,"Agriculture","Import",1634
2023-11-01,"Agriculture","Export",1727
2023-12-01,"Agriculture","Import",1257
2024-01-01,"Agriculture","Export",2337
2024-02-01,"Agriculture","Import",6307
2024-03-01,"Agriculture","Export",2455
2024-04-01,"Agriculture","Import",1119
2024-05-01,"Agriculture","Export",7510
2024-06-01,"Agriculture","Import",8696
2024-07-01,"Agriculture","Export",9309
2024-08-01,"Agriculture","Import",2006
2024-09-01,"Agriculture","Export",7569
2024-10-01,"Agriculture","Import",9627
2024-11-01,"Agriculture","Export",4429
2024-12-01,"Agriculture","Import",7622
2020-01-01,"Textiles","Export",6451
2020-02-01,"Textiles","Import",1843
2020-03-01,"Textiles","Export",9595
2020-04-01,"Textiles","Import",1303
2020-05-01,"Textiles","Export",8227
2020-06-01,"Textiles","Import",4821
2020-07-01,"Textiles","Export",3692
2020-08-01,"Textiles","Import",6811
2020-09-01,"Textiles","Export",1682
2020-10-01,"Textiles","Import",7937
2020-11-01,"Textiles","Export",1532
2020-12-01,"Textiles","Import",9572
2021-01-01,"Textiles","Export",4661
2021-02-01,"Textiles","Import",5246
2021-03-01,"Textiles","Export",2500
2021-04-01,"Textiles","Import",7750
2021-05-01,"Textiles","Export",2403
2021-06-01,"Textiles","Import",4362
2021-07-01,"Textiles","Export",6414
2021-08-01,"Textiles","Import",4728
2021-09-01,"Textiles","Export",3504
2021-10-01,"Textiles","Import",7848
2021-11-01,"Textiles","Export",8306
2021-12-01,"Textiles","Import",4554
2022-01-01,"Textiles","Export",6252
2022-02-01,"Textiles","Import",6504
2022-03-01,"Textiles","Export",1868
2022-04-01,"Textiles","Import",1282
2022-05-01,"Textiles","Export",8985
2022-06-01,"Textiles","Import",2310
2022-07-01,"Textiles","Export",7752
2022-08-01,"Textiles","Import",2996
2022-09-01,"Textiles","Export",4190
2022-10-01,"Textiles","Import",9394
2022-11-01,"Textiles","Export",3065
2022-12-01,"Textiles","Import",3612
2023-01-01,"Textiles","Export",7765
2023-02-01,"Textiles","Import",9398
2023-03-01,"Textiles","Export",1185
2023-04-01,"Textiles","Import",6007
2023-05-01,"Textiles","Export",3226
2023-06-01,"Textiles","Import",8027
2023-07-01,"Textiles","Export",4834
2023-08-01,"Textiles","Import",5045
2023-09-01,"Textiles","Export",9280
2023-10-01,"Textiles","Import",6756
2023-11-01,"Textiles","Export",6087
2023-12-01,"Textiles","Import",4974
2024-01-01,"Textiles","Export",8577
2024-02-01,"Textiles","Import",1486
2024-03-01,"Textiles","Export",3267
2024-04-01,"Textiles","Import",6456
2024-05-01,"Textiles","Export",9934
2024-06-01,"Textiles","Import",2653
2024-07-01,"Textiles","Export",9710
2024-08-01,"Textiles","Import",8700
2024-09-01,"Textiles","Export",5722
2024-10-01,"Textiles","Import",4078
2024-11-01,"Textiles","Export",5793
2024-12-01,"Textiles","Import",7594
2020-01-01,"Machinery","Export",3216
2020-02-01,"Machinery","Import",9763
2020-03-01,"Machinery","Export",6373
2020-04-01,"Machinery","Import",5196
2020-05-01,"Machinery","Export",2273
2020-06-01,"Machinery","Import",3835
2020-07-01,"Machinery","Export",9890
2020-08-01,"Machinery","Import",2625
2020-09-01,"Machinery","Export",4615
2020-10-01,"Machinery","Import",4133
2020-11-01,"Machinery","Export",9361
2020-12-01,"Machinery","Import",3591
